"event_time","host_name","log_type","check_item","check_result","check_detail","message"
"2026-05-26 02:00:01","bastion-01","U","U-01","Y","설정 양호 — 정책 기준 충족","root 계정 원격 접속 제한"
"2026-05-26 02:00:01","bastion-01","U","U-02","Y","설정 양호 — 정책 기준 충족","비밀번호 관리정책 설정"
"2026-05-26 02:00:01","bastion-01","U","U-03","Y","설정 양호 — 정책 기준 충족","계정 잠금 임계값 설정"
"2026-05-26 02:00:01","bastion-01","U","U-04","Y","설정 양호 — 정책 기준 충족","비밀번호 파일 보호"
"2026-05-26 02:00:01","bastion-01","U","U-05","Y","설정 양호 — 정책 기준 충족","root 이외의 UID 0 금지"
"2026-05-26 02:00:01","bastion-01","U","U-06","Y","설정 양호 — 정책 기준 충족","root 계정 su 제한"
"2026-05-26 02:00:01","bastion-01","U","U-07","C","운영자 수동 확인 필요 (정책 기준 대조 요망)","불필요한 계정 제거 (수동확인)"
"2026-05-26 02:00:01","bastion-01","U","U-08","Y","설정 양호 — 정책 기준 충족","관리자 그룹에 최소한의 계정 포함"
"2026-05-26 02:00:01","bastion-01","U","U-09","C","운영자 수동 확인 필요 (정책 기준 대조 요망)","계정이 존재하지 않는 GID 금지 (수동확인)"
"2026-05-26 02:00:01","bastion-01","U","U-10","Y","설정 양호 — 정책 기준 충족","동일한 UID 금지"
"2026-05-26 02:00:01","bastion-01","U","U-11","N","정책 미충족 — 조치 필요","사용자 Shell 점검"
"2026-05-26 02:00:01","bastion-01","U","U-12","Y","설정 양호 — 정책 기준 충족","세션 종료 시간 설정"
"2026-05-26 02:00:01","bastion-01","U","U-13","Y","설정 양호 — 정책 기준 충족","안전한 비밀번호 암호화 알고리즘 사용"
"2026-05-26 02:00:01","bastion-01","U","U-14","Y","소유자 root, 권한 적정 (기대값 충족)","root 홈 패스 디렉터리 권한 및 패스 설정"
"2026-05-26 02:00:01","bastion-01","U","U-15","Y","소유자 root, 권한 적정 (기대값 충족)","파일 및 디렉터리 소유자 설정"
"2026-05-26 02:00:01","bastion-01","U","U-16","Y","소유자 root, 권한 적정 (기대값 충족)","/etc/passwd 파일 소유자 및 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-17","Y","소유자 root, 권한 적정 (기대값 충족)","시스템 시작 스크립트 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-18","Y","소유자 root, 권한 적정 (기대값 충족)","/etc/shadow 파일 소유자 및 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-19","Y","소유자 root, 권한 적정 (기대값 충족)","/etc/hosts 파일 소유자 및 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-20","Y","소유자 root, 권한 적정 (기대값 충족)","/etc/(x)inetd.conf 파일 소유자 및 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-21","Y","소유자 root, 권한 적정 (기대값 충족)","/etc/(r)syslog.conf 파일 소유자 및 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-22","Y","소유자 root, 권한 적정 (기대값 충족)","/etc/services 파일 소유자 및 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-23","C","운영자 수동 확인 필요 (정책 기준 대조 요망)","SUID SGID Sticky bit 설정 파일 점검 (수동확인)"
